时间,二分图直径,二分图平均度,二分图同配系数,二分图密度,二分图平均聚类系数,基金直径,基金平均度,基金同配系数,基金密度,基金平均聚类系数,股票直径,股票同配系数,股票平均聚类系数,股票平均度,股票密度,股市,股市-下一季度,股市-下两季度
2017/10/1,10,40.02514651,-0.24938755,0.00939677,0.09639745,11,462.2293233,0.479704288,0.144854066,0.673717906,8,0.434436805,0.64618123,297.2325123,0.048814668,1,1,1
2018/1/1,12,9.079453973,-0.17960945,0.003239898,0.131016129,8,118.1315461,0.38794477,0.03683553,0.422034481,13,0.877291849,0.528138572,11.5084088,0.004964801,1,1,-1
2018/4/1,9,39.25110676,-0.264100549,0.008667958,0.091205179,11,222.2382162,0.368905237,0.062743709,0.541827154,9,0.318547011,0.656042716,366.9472647,0.060293668,1,-1,-1
2018/7/1,12,9.033425224,-0.165496976,0.00321527,0.139634414,8,159.07164,0.393490208,0.047104424,0.441686005,15,0.886851879,0.55889983,20.66877542,0.009343931,-1,-1,1
2018/10/1,10,37.66574803,-0.270310098,0.00805649,0.090473731,10,116.533184,0.289155142,0.032642348,0.453284491,7,0.285154511,0.64118345,370.8022164,0.057081622,-1,1,1
2019/1/1,14,9.035902058,-0.173067446,0.00275789,0.139215742,9,118.5718165,0.394641233,0.032203101,0.411474751,17,0.872726768,0.564314187,23.10284464,0.008428619,1,1,1
2019/4/1,10,44.08615152,-0.237469403,0.008680577,0.094379301,8,625.9512078,0.416470389,0.149749093,0.692505202,8,0.515318159,0.65703895,335.6094319,0.053119568,1,1,1
2019/7/1,12,9.445750856,-0.191367234,0.002964784,0.146134678,11,235.062546,0.407530016,0.057669908,0.486483739,18,0.858584038,0.583451246,31.91382848,0.013100915,1,1,1
2019/10/1,10,47.64273611,-0.218482966,0.00872952,0.090399145,10,521.9142611,0.26726653,0.112457285,0.614323877,12,0.437765158,0.667328204,319.5615023,0.050017452,1,1,1
2020/1/1,13,9.929675013,-0.181957708,0.002795586,0.128582608,8,230.2779839,0.386069584,0.050257089,0.471013709,18,0.896076808,0.549369285,20.38760269,0.00761584,1,1,1
2020/4/1,9,55.50668327,-0.211354777,0.00931673,0.094122938,11,985.6280202,0.465620243,0.184643691,0.729329246,13,0.418638922,0.673842463,308.3349238,0.047465352,1,1,1
2020/7/1,12,10.38494335,-0.189252574,0.002734666,0.122751071,10,349.2496616,0.288465821,0.067553126,0.516789372,18,0.861429652,0.510090638,10.43711038,0.003828727,1,1,1
2020/10/1,10,73.97612971,-0.274109625,0.011148096,0.098987886,9,1410.890005,0.64292234,0.22859527,0.774317343,12,0.481778927,0.670180742,281.5034823,0.04085089,1,1,1
2021/1/1,13,10.46704778,-0.194097395,0.002536317,0.119136386,9,383.8002281,0.382810675,0.062548929,0.51516314,21,0.79268984,0.513157333,10.04035398,0.003555366,1,1,1
2021/4/1,9,97.18626541,-0.309632559,0.012885859,0.09794975,10,1632.446068,0.697311315,0.220959132,0.790431402,9,0.580948239,0.676591778,277.0453581,0.03674829,1,1,
2021/7/1,11,12.59126222,-0.205734566,0.002406197,0.091989918,8,379.8332713,0.255592061,0.047125716,0.489935782,19,0.856834278,0.491814118,10.98812889,0.003106624,1,,
